10000 200000
1374 2134 4
1374 2208 3
1374 2498 3
1374 2787 4
1374 3400 3
1374 3454 10
1374 3597 3
1374 3995 5
1374 4370 8
1374 4449 5
1374 5253 4
1374 5883 8
1374 6487 1
1374 7207 10
1374 7930 8
1374 8169 8
1374 8611 2
1374 8753 10
1374 9501 9
1375 23 4
1375 1285 9
1375 1432 5
1375 1573 5
1375 1974 9
1375 2080 6
1375 2496 10
1375 2588 9
1375 2648 1
1375 2855 7
1375 3141 5
1375 3512 9
1375 4048 7
1375 4295 1
1375 5896 7
1375 6011 2
1375 6798 4
1375 6980 8
1375 7178 4
1375 7618 9
1375 8010 5
1376 1245 9
1376 2405 1
1376 2607 10
1376 3018 1
1376 3196 1
1376 3340 1
1376 3543 9
1376 4384 2
1376 6024 7
1376 7190 7
1376 7968 3
1376 8449 3
1376 8696 9
1376 8830 1
1376 9627 5
1377 278 7
1377 282 10
1377 1018 5
1377 1709 3
1377 2680 9
1377 3454 9
1377 3474 2
1377 3791 9
1377 4588 4
1377 4767 4
1377 6263 8
1377 6650 6
1377 8265 3
1377 8699 5
1378 821 7
1378 1169 8
1378 2621 3
1378 3767 3
1378 3870 9
1378 4228 8
1378 4435 6
1378 4478 9
1378 5045 2
1378 5229 9
1378 5441 9
1378 6276 5
1378 6443 4
1378 7150 5
1378 7273 10
1378 7456 1
1378 7560 7
1378 7854 6
1378 7969 9
1379 148 8
1379 771 8
1379 773 10
1379 946 6
1379 1446 1
1379 2167 3
1379 2187 3
1379 2469 4
1379 4014 7
1379 4210 3
1379 5026 4
1379 5508 2
1379 5650 4
1379 5754 9
1379 6755 8
1379 8849 8
1379 9243 10
1380 707 5
1380 3058 1
1380 3997 10
1380 4155 1
1380 4218 5
1380 4463 10
1380 6654 8
1380 7246 5
1380 7911 9
1380 8123 8
1380 8675 1
1381 45 10
1381 273 4
1381 1186 9
1381 1278 4
1381 1463 6
1381 1555 5
1381 2065 4
1381 2096 10
1381 3346 7
1381 3378 3
1381 3566 1
1381 3751 3
1381 3880 10
1381 4203 2
1381 5372 10
1381 7404 5
1381 7438 8
1381 8934 10
1381 9684 1
1382 393 9
1382 415 7
1382 480 9
1382 3416 10
1382 5341 10
1382 5770 5
1382 5977 8
1382 6010 6
1382 6606 3
1382 6608 6
1382 6880 1
1382 7175 7
1382 7235 1
1382 7480 1
1382 7862 5
1382 7972 5
1382 8367 5
1382 8492 10
1382 8857 1
1382 9265 2
1382 9519 6
1382 9854 3
1383 1124 7
1383 1490 10
1383 1688 4
1383 2241 5
1383 2788 6
1383 3237 2
1383 3898 7
1383 3954 10
1383 4099 9
1383 4599 10
1383 4788 5
1383 4854 3
1383 5388 2
1383 5947 6
1383 6155 3
1383 6404 4
1383 6408 5
1383 6978 1
1383 7062 3
1383 7120 3
1383 7231 3
1383 7287 9
1383 7560 1
1383 7734 10
1383 7834 4
1383 8333 5
1383 8431 6
1383 8599 2
1383 9412 4
1383 9943 7
1384 428 7
1384 992 6
1384 1559 10
1384 1807 1
1384 2187 1
1384 2309 2
1384 2771 2
1384 3150 3
1384 4129 10
1384 4131 3
1384 4369 2
1384 4937 5
1384 5012 1
1384 5659 7
1384 5860 6
1384 6000 10
1384 6053 6
1384 7710 4
1384 7802 8
1384 7928 8
1384 8054 3
1384 8526 2
1384 9470 2
1385 292 2
1385 1690 4
1385 2325 6
1385 2703 7
1385 3012 5
1385 3364 5
1385 3934 3
1385 4175 6
1385 4926 8
1385 5726 2
1385 6085 8
1385 6309 10
1385 7904 4
1385 9746 9
1386 425 5
1386 916 5
1386 1290 7
1386 1323 6
1386 2330 7
1386 2586 5
1386 3343 5
1386 4020 1
1386 5399 9
1386 5992 3
1386 6896 9
1386 6957 10
1386 7019 1
1386 7145 5
1386 7414 6
1386 7794 5
1386 8236 4
1386 8816 8
1386 9058 1
1386 9622 8
1386 9980 7
1387 164 3
1387 270 8
1387 432 10
1387 1849 1
1387 2814 8
1387 2855 3
1387 3347 9
1387 3520 4
1387 4246 8
1387 4307 6
1387 4789 1
1387 5219 9
1387 5589 4
1387 6806 6
1387 7064 7
1387 7865 3
1387 8088 9
1387 8602 3
1387 8994 6
1387 9047 3
1387 9551 8
1387 9715 6
1387 9851 4
1388 8 4
1388 880 8
1388 2904 2
1388 3003 3
1388 4411 2
1388 4982 7
1388 6437 7
1388 6444 9
1388 7189 6
1388 7337 10
1388 7797 6
1388 7932 5
1388 8552 3
1388 8806 3
1388 9248 9
1388 9562 7
1388 9638 10
1389 568 5
1389 801 1
1389 806 10
1389 898 1
1389 2060 6
1389 3147 1
1389 3942 2
1389 4372 9
1389 6187 10
1389 6399 1
1389 7304 2
1389 8037 3
1389 8925 4
1389 8985 7
1389 8990 8
1389 9179 6
1389 9634 10
1389 9803 8
1389 9909 1
1389 9913 7
1390 3 5
1390 163 7
1390 308 3
1390 558 3
1390 721 6
1390 920 4
1390 2705 5
1390 3251 3
1390 4814 5
1390 5075 1
1390 6262 6
1390 6651 3
1390 7695 4
1390 8374 5
1390 8957 4
1391 187 5
1391 1604 7
1391 1701 2
1391 1756 1
1391 1960 4
1391 2743 8
1391 3946 5
1391 4682 9
1391 4745 2
1391 5776 3
1391 5797 7
1391 5811 7
1391 7055 9
1391 8009 1
1391 8499 5
1391 9371 4
1392 238 10
1392 546 2
1392 825 2
1392 830 10
1392 876 10
1392 978 3
1392 1113 7
1392 2642 7
1392 3964 9
1392 4129 6
1392 4307 10
1392 4670 10
1392 4759 8
1392 4905 9
1392 5431 3
1392 5876 4
1392 6596 6
1392 7357 1
1392 7604 10
1392 7749 2
1392 7960 1
1392 8248 10
1392 8515 9
1392 9137 9
1392 9808 7
1392 9884 7
1393 706 9
1393 1188 6
1393 1857 5
1393 1867 3
1393 1977 6
1393 2340 4
1393 2731 1
1393 3247 6
1393 3764 3
1393 3771 1
1393 4037 5
1393 4896 6
1393 5333 8
1393 5673 3
1393 6087 9
1393 6129 2
1393 6585 5
1393 7165 9
1393 7262 9
1393 7686 8
1393 7791 6
1393 8773 6
1393 8794 3
1393 9378 2
1393 9557 5
1393 9933 2
1394 34 8
1394 979 3
1394 1786 8
1394 1972 5
1394 2379 8
1394 2743 7
1394 4469 10
1394 5597 7
1394 5717 9
1394 5997 7
1394 7881 5
1394 8063 1
1394 9145 2
1394 9368 8
1394 9729 10
1394 9947 9
1395 466 2
1395 479 2
1395 554 9
1395 624 6
1395 628 8
1395 683 9
1395 1260 7
1395 1513 8
1395 1518 6
1395 2015 10
1395 2065 8
1395 2296 7
1395 2500 6
1395 2532 6
1395 2628 4
1395 2976 10
1395 4017 1
1395 4044 4
1395 5179 6
1395 6157 3
1395 6460 8
1395 6588 6
1395 6599 4
1395 6804 7
1395 7357 10
1395 7557 8
1395 7596 7
1395 7886 8
1395 8054 7
1395 9077 9
1395 9336 3
1396 21 10
1396 630 1
1396 1066 4
1396 1351 7
1396 1447 9
1396 1791 2
1396 2263 2
1396 3231 1
1396 6120 5
1396 7421 5
1396 7785 8
1396 8332 5
1396 8407 3
1396 8730 3
1396 8753 10
1396 9384 4
1397 290 3
1397 933 7
1397 1214 8
1397 1829 4
1397 2243 8
1397 2672 9
1397 2786 9
1397 2962 8
1397 3316 9
1397 3633 8
1397 3993 1
1397 4328 6
1397 4558 8
1397 4948 7
1397 4952 7
1397 4959 9
1397 5099 3
1397 5627 3
1397 6675 5
1397 7507 5
1397 8145 8
1397 8515 2
1397 8958 5
1397 9021 2
1397 9106 7
1397 9215 1
1397 9256 5
1397 9882 3
1398 206 2
1398 1524 2
1398 2893 5
1398 3245 1
1398 3537 4
1398 4419 8
1398 4669 7
1398 4898 7
1398 5918 1
1398 8773 3
1398 9745 10
1399 307 4
1399 1088 8
1399 2021 1
1399 3253 5
1399 3569 4
1399 3590 1
1399 4273 9
1399 4356 9
1399 5091 7
1399 5805 6
1399 6080 9
1399 6658 2
1399 7928 9
1399 7985 10
1399 9733 1
1400 189 6
1400 607 1
1400 930 5
1400 1302 7
1400 2314 7
1400 2474 5
1400 2548 4
1400 3032 5
1400 3095 7
1400 3748 2
1400 5136 2
1400 5912 2
1400 6164 7
1400 6335 3
1400 6656 1
1400 6808 2
1400 7245 2
1400 7267 3
1400 8347 10
1400 8592 7
1400 8928 1
1400 9336 2
1400 9670 4
1401 1177 3
1401 1515 9
1401 1526 8
1401 2130 6
1401 2340 6
1401 4166 2
1401 4518 10
1401 4929 8
1401 5558 3
1401 5781 9
1401 5958 9
1401 6711 4
1401 6937 3
1401 7052 1
1401 7841 5
1401 8328 10
1401 8377 5
1402 995 9
1402 1069 4
1402 1697 5
1402 2467 5
1402 2612 7
1402 2644 3
1402 3366 1
1402 3923 1
1402 4976 5
1402 5635 9
1402 6411 8
1402 7131 2
1402 7245 4
1402 7830 3
1402 8927 9
1402 8994 1
1402 9627 9
1402 9738 4
1403 789 8
1403 817 6
1403 842 4
1403 1135 1
1403 1391 6
1403 1506 3
1403 1575 4
1403 2178 3
1403 2534 2
1403 2857 5
1403 3082 3
1403 3385 1
1403 3475 2
1403 4312 6
1403 4576 5
1403 4583 9
1403 4798 9
1403 5495 7
1403 6168 3
1403 6297 1
1403 7581 4
1403 7909 7
1403 8026 3
1403 8473 4
1403 8623 7
1403 9889 1
1404 49 1
1404 850 9
1404 1223 5
1404 1805 3
1404 2088 2
1404 2232 7
1404 2262 3
1404 2281 10
1404 2328 2
1404 3152 2
1404 3708 3
1404 4029 10
1404 4203 9
1404 4380 3
1404 4494 8
1404 5400 1
1404 5670 1
1404 6114 5
1404 6220 5
1404 6304 2
1404 6987 10
1404 7471 6
1404 7802 2
1404 8139 8
1404 9084 2
1404 9822 10
1405 525 8
1405 1310 3
1405 1767 4
1405 1770 10
1405 1792 6
1405 2233 5
1405 2838 2
1405 2998 2
1405 4203 1
1405 4228 5
1405 4302 9
1405 4512 2
1405 4784 10
1405 5237 9
1405 6260 7
1405 6352 2
1405 7789 1
1405 8575 7
1405 9721 7
1405 9780 6
1406 376 3
1406 945 3
1406 2679 4
1406 3478 3
1406 3615 3
1406 4542 4
1406 4691 10
1406 5012 1
1406 5546 1
1406 5590 10
1406 5673 2
1406 7038 4
1406 7083 2
1406 7451 5
1406 7593 3
1406 8263 3
1406 9478 5
1406 9845 4
1407 359 3
1407 669 9
1407 1458 10
1407 3044 4
1407 3053 7
1407 4138 2
1407 4904 5
1407 5083 6
1407 5584 7
1407 5624 2
1407 5675 1
1407 6021 5
1407 6702 1
1407 6761 8
1407 6973 4
1407 7133 7
1407 8497 9
1407 9173 4
1407 9905 10
1408 297 7
1408 456 4
1408 619 3
1408 2211 4
1408 2614 8
1408 2848 7
1408 3324 9
1408 3342 8
1408 3679 10
1408 4332 3
1408 4486 10
1408 4527 7
1408 4701 3
1408 5041 9
1408 5611 6
1408 5977 2
1408 6302 9
1408 6665 3
1408 8238 4
1408 9052 10
1408 9206 1
1408 9915 8
1409 3 7
1409 127 6
1409 451 9
1409 692 8
1409 1518 8
1409 3044 3
1409 3097 6
1409 3425 7
1409 4390 9
1409 5595 7
1409 5791 9
1409 6521 7
1409 8515 8
1409 8931 8
1409 9979 2
1409 9983 4
1410 342 1
1410 1179 9
1410 2012 8
1410 2555 4
1410 4235 2
1410 4539 4
1410 4575 9
1410 5496 8
1410 5542 6
1410 6064 6
1410 6308 2
1410 7601 4
1410 8468 4
1410 9698 5
1410 9937 5
1411 1452 7
1411 2115 7
1411 2419 2
1411 2649 8
1411 3551 1
1411 3944 4
1411 4605 4
1411 4989 10
1411 6368 9
1411 6485 3
1411 6538 6
1411 7396 2
1411 8164 1
1411 9429 1
1412 1584 9
1412 2252 5
1412 2530 3
1412 2575 5
1412 2597 8
1412 3670 5
1412 3794 9
1412 4686 10
1412 4845 9
1412 5302 4
1412 5628 6
1412 5640 5
1412 5749 1
1412 6107 5
1412 6125 1
1412 6181 10
1412 6378 10
1412 6636 2
1412 9140 4
1412 9198 3
1412 9529 7
1412 9715 4
1412 9995 2
1413 718 8
1413 974 4
1413 1409 4
1413 1881 4
1413 2538 10
1413 3333 6
1413 3905 5
1413 5106 1
1413 5241 8
1413 5532 1
1413 5758 10
1413 5839 10
1413 5850 8
1413 7131 10
1413 7643 8
1413 8892 5
1413 9298 5
1414 869 6
1414 2377 6
1414 3090 8
1414 3592 6
1414 3721 2
1414 4365 4
1414 4402 8
1414 5828 1
1414 6407 9
1414 6465 1
1414 7218 1
1414 7276 3
1414 7337 7
1414 7964 2
1414 8292 9
1414 8353 4
1414 8490 1
1414 8628 7
1414 8649 10
1414 8689 6
1414 8723 4
1414 8889 10
1414 9250 10
1414 9821 3
1415 110 7
1415 210 1
1415 898 4
1415 1994 3
1415 2144 9
1415 2788 10
1415 3059 3
1415 3081 5
1415 3813 7
1415 5477 2
1415 6147 10
1415 6537 7
1415 7147 5
1415 7469 7
1415 9462 10
1415 9496 10
1416 450 5
1416 1072 9
1416 1720 3
1416 2170 3
1416 2417 8
1416 3289 5
1416 3385 3
1416 4526 8
1416 4811 4
1416 5747 5
1416 5942 10
1416 6223 3
1416 7086 5
1416 7486 10
1416 7527 10
1416 7993 7
1416 8106 1
1416 8480 3
1416 8592 10
1416 9776 7
1416 9908 6
1417 1447 6
1417 1546 9
1417 1979 1
1417 2409 3
1417 2854 8
1417 3158 3
1417 3574 10
1417 4201 1
1417 5007 9
1417 5584 1
1417 5912 4
1417 6536 10
1417 7929 1
1417 9016 7
1417 9169 2
1417 9261 5
1418 72 7
1418 204 7
1418 307 10
1418 1242 3
1418 3667 9
1418 3753 6
1418 4343 5
1418 4759 8
1418 5218 6
1418 5812 6
1418 5893 7
1418 6184 8
1418 6404 3
1418 6881 3
1418 7696 10
1418 8315 3
1418 8791 1
1418 9302 9
1418 9562 10
1418 9663 4
1419 1780 9
1419 2840 9
1419 4412 9
1419 5045 5
1419 6569 5
1419 7079 4
1419 7432 5
1419 7700 1
1419 9009 1
1419 9391 9
1419 9554 8
1419 9908 6
1420 160 1
1420 481 9
1420 568 8
1420 749 8
1420 1316 2
1420 1416 9
1420 1938 3
1420 2497 7
1420 2520 3
1420 2560 4
1420 3303 9
1420 3832 9
1420 4079 7
1420 4158 3
1420 4690 10
1420 6922 3
1420 7430 1
1420 7550 4
1420 8643 1
1420 8822 9
1420 9287 6
1420 9521 5
1421 435 10
1421 670 6
1421 736 8
1421 1456 1
1421 1830 10
1421 2192 6
1421 2667 1
1421 3248 10
1421 3385 10
1421 4300 10
1421 5105 2
1421 5347 1
1421 6511 7
1421 6727 10
1421 6895 5
1421 7067 6
1421 7524 10
1421 7952 6
1421 8498 10
1421 8603 10
1421 9449 4
1421 9655 6
1422 102 3
1422 152 10
1422 655 6
1422 991 10
1422 1467 1
1422 2846 5
1422 3252 1
1422 3410 4
1422 3977 5
1422 4734 6
1422 6809 8
1422 7339 1
1422 7450 7
1422 8300 2
1422 9066 2
1422 9154 2
1422 9366 5
1422 9712 3
1422 9833 8
1423 44 9
1423 1369 8
1423 1403 6
1423 3329 4
1423 3359 2
1423 3444 10
1423 3494 6
1423 4397 3
1423 4622 8
1423 4963 10
1423 4977 1
1423 5069 5
1423 5208 7
1423 5658 9
1423 5978 7
1423 6617 9
1423 6761 4
1423 6867 3
1423 6986 3
1423 7685 7
1423 7969 3
1423 8246 10
1423 8489 3
1424 1542 5
1424 2116 3
1424 2139 6
1424 2454 5
1424 2764 9
1424 2972 2
1424 3218 6
1424 3559 8
1424 3724 6
1424 3827 2
1424 4142 7
1424 4235 4
1424 4434 6
1424 4934 8
1424 6111 10
1424 8407 7
1424 8424 4
1424 8660 10
1424 9118 9
1424 9428 8
1424 9444 10
1424 9818 7
1425 243 1
1425 407 7
1425 927 3
1425 1028 8
1425 1355 5
1425 1949 9
1425 2528 7
1425 2718 3
1425 3112 8
1425 3856 4
1425 3989 4
1425 4413 4
1425 5440 5
1425 5638 10
1425 7175 3
1425 7481 6
1425 7763 10
1425 7921 8
1425 8007 1
1425 8863 2
1425 9419 10
1425 9637 2
1426 70 5
1426 78 5
1426 505 7
1426 509 7
1426 2100 8
1426 2336 7
1426 2672 1
1426 2740 5
1426 2756 3
1426 3223 10
1426 4549 6
1426 4703 5
1426 4742 4
1426 5074 5
1426 5105 6
1426 5377 1
1426 5647 9
1426 6009 5
1426 6159 2
1426 6169 1
1426 6249 5
1426 6459 8
1426 7160 8
1426 7785 4
1426 8597 4
1426 9105 8
1427 141 2
1427 216 2
1427 358 4
1427 489 7
1427 2121 2
1427 2557 2
1427 2902 9
1427 4333 9
1427 5417 6
1427 5457 7
1427 6566 8
1427 6580 4
1427 6718 1
1427 7025 6
1427 7096 4
1427 7308 6
1427 8093 9
1427 8955 2
1427 9513 1
1427 9599 5
1427 9619 3
1427 9903 5
1428 1264 6
1428 1740 5
1428 2311 4
1428 2465 4
1428 2716 6
1428 4088 2
1428 5021 1
1428 5030 5
1428 5102 8
1428 5174 10
1428 5380 6
1428 5383 2
1428 5463 6
1428 6518 2
1428 7019 6
1428 9224 4
1428 9231 4
1429 333 3
1429 577 2
1429 1312 5
1429 1415 3
1429 2747 4
1429 2867 10
1429 3126 2
1429 3253 1
1429 3261 8
1429 5089 10
1429 5523 10
1429 7182 5
1429 7639 8
1429 8326 6
1429 8363 8
1429 8951 5
1429 9311 9
1429 9813 6
1429 9981 10
1430 126 3
1430 329 1
1430 503 9
1430 524 1
1430 1019 6
1430 1072 10
1430 1139 7
1430 3348 8
1430 3610 3
1430 3810 10
1430 4339 3
1430 4804 2
1430 5303 10
1430 5911 3
1430 5996 6
1430 6194 10
1430 6202 8
1430 6453 5
1430 6507 2
1430 7860 1
1430 7905 6
1430 8573 7
1430 9567 10
1430 9685 8
1431 171 7
1431 514 6
1431 531 10
1431 982 1
1431 1116 9
1431 2611 3
1431 2877 5
1431 3010 10
1431 3851 7
1431 3866 5
1431 4147 4
1431 4533 7
1431 5401 5
1431 6476 6
1431 6953 5
1431 7644 4
1431 8078 10
1431 9293 10
1431 9319 5
1431 9565 3
1431 9602 3
1431 9618 7
1431 9730 5
1432 314 4
1432 332 10
1432 915 10
1432 1106 3
1432 2483 9
1432 2976 6
1432 3177 1
1432 3280 7
1432 4691 2
1432 5245 4
1432 5914 1
1432 5969 2
1432 6181 8
1432 8665 8
1432 8925 6
1433 22 5
1433 1247 2
1433 2287 10
1433 3560 9
1433 4140 2
1433 4245 10
1433 5651 5
1433 6060 6
1433 6123 5
1433 6536 1
1433 6958 6
1433 9214 8
1433 9266 3
1433 9960 9
1434 1721 4
1434 2531 6
1434 3798 4
1434 4539 10
1434 4948 10
1434 5203 3
1434 6120 2
1434 6382 1
1434 6916 8
1434 8151 10
1434 8386 9
1434 8481 2
1434 9769 7
1434 9776 2
1435 255 5
1435 875 4
1435 1638 5
1435 1768 6
1435 1891 3
1435 1902 3
1435 2759 5
1435 3259 10
1435 3844 8
1435 4230 4
1435 5356 9
1435 5393 7
1435 5686 3
1435 6215 4
1435 6228 8
1435 6695 1
1435 6747 8
1435 6769 3
1435 6844 9
1435 7481 1
1435 7514 1
1435 7937 9
1435 7946 10
1436 294 9
1436 394 5
1436 537 5
1436 563 4
1436 834 10
1436 1249 5
1436 1270 10
1436 1305 10
1436 1561 4
1436 2712 1
1436 2774 9
1436 2946 2
1436 3543 10
1436 5439 7
1436 5502 8
1436 6982 8
1436 8931 2
1436 9761 6
1437 970 10
1437 1282 9
1437 1687 8
1437 1982 7
1437 2769 10
1437 2923 8
1437 3777 2
1437 3912 7
1437 4770 9
1437 4959 10
1437 5573 7
1437 5689 9
1437 6263 3
1437 6926 1
1437 6949 1
1437 7087 8
1437 7285 3
1437 7301 8
1437 8758 10
1437 8846 9
1437 9040 10
1437 9337 9
1438 835 5
1438 1233 10
1438 1477 3
1438 1928 4
1438 2284 8
1438 3073 6
1438 3704 10
1438 4294 2
1438 5497 8
1438 6065 8
1438 6607 1
1438 6757 5
1438 6798 3
1438 6920 9
1438 7184 2
1438 7257 6
1438 7656 4
1438 8292 10
1438 9146 4
1438 9233 9
1438 9362 1
1438 9662 4
1438 9780 10
1438 9945 4
1439 616 5
1439 788 1
1439 973 8
1439 1102 8
1439 1496 8
1439 2570 8
1439 2819 4
1439 2970 5
1439 3101 6
1439 3228 4
1439 3607 6
1439 3840 10
1439 3968 7
1439 4710 1
1439 5075 2
1439 6519 4
1439 7416 2
1439 7592 5
1439 7711 4
1439 7971 8
1439 8785 6
1439 9590 5
1440 819 9
1440 1429 7
1440 1711 1
1440 2022 10
1440 3853 7
1440 3971 6
1440 5990 1
1440 6291 8
1440 6920 8
1440 7396 8
1440 7610 5
1440 7783 5
1440 7880 10
1440 8294 5
1440 9103 8
1440 9985 6
1441 1409 5
1441 1461 10
1441 3229 9
1441 3358 9
1441 4609 4
1441 4812 8
1441 4981 2
1441 5732 8
1441 6675 2
1441 7532 6
1441 8944 7
1441 9313 4
1441 9389 6
1442 223 8
1442 237 6
1442 543 4
1442 868 8
1442 1069 6
1442 1300 8
1442 2344 7
1442 2592 8
1442 2673 6
1442 2692 1
1442 3072 1
1442 3150 4
1442 3739 6
1442 4709 9
1442 4910 9
1442 5221 9
1442 5545 7
1442 5666 6
1442 5735 10
1442 5792 4
1442 6152 3
1442 6451 2
1442 6998 10
1442 7402 8
1442 8746 1
1443 211 8
1443 2661 6
1443 3072 9
1443 4708 4
1443 5050 9
1443 6687 8
1443 6736 8
1443 6947 7
1443 7715 4
1443 8386 10
1443 8440 2
1443 9292 10
1443 9800 3
1444 116 2
1444 1435 5
1444 1628 7
1444 1760 7
1444 2070 8
1444 2194 9
1444 3450 4
1444 3666 3
1444 4148 1
1444 4475 7
1444 4619 10
1444 4876 7
1444 5440 7
1444 5566 6
1444 5919 8
1444 6189 2
1444 6593 2
1444 6669 6
1444 7154 10
1444 8180 10
1444 8392 4
1444 8644 7
1444 8962 10
1444 9085 3
1444 9458 8
1444 9621 3
1444 9746 4
1444 9987 2
1444 9999 1
1445 1450 9
1445 1564 8
1445 1828 7
1445 2127 10
1445 2298 8
1445 3014 3
1445 3028 2
1445 3523 9
1445 6292 2
1445 6376 4
1445 7128 4
1445 8458 8
1445 9045 2
1445 9504 2
1445 9638 10
1445 9646 1
1446 161 4
1446 499 8
1446 532 2
1446 1014 6
1446 1870 6
1446 2211 8
1446 2314 6
1446 2721 2
1446 2734 10
1446 3770 10
1446 5118 5
1446 5983 10
1446 6008 1
1446 7981 8
1446 8240 3
1446 8603 4
1446 9001 7
1446 9150 8
1446 9851 8
1447 694 10
1447 1193 1
1447 1274 2
1447 1435 8
1447 2183 10
1447 2695 5
1447 5345 3
1447 5615 7
1447 6202 7
1447 6250 7
1447 6307 3
1447 7180 8
1447 8058 6
1447 8816 10
1447 8866 9
1448 673 10
1448 1512 3
1448 2380 6
1448 2420 5
1448 2562 10
1448 2621 2
1448 2773 7
1448 2874 3
1448 3188 4
1448 3399 5
1448 4181 7
1448 4425 1
1448 5141 10
1448 5567 1
1448 6462 7
1448 6743 1
1448 6932 1
1448 7601 9
1448 7678 7
1448 8516 8
1448 9957 8
1449 1442 6
1449 1775 4
1449 2610 3
1449 3196 2
1449 3208 10
1449 3375 3
1449 4024 10
1449 4716 7
1449 5239 10
1449 5362 5
1449 5854 10
1449 6150 10
1449 6220 8
1449 6591 2
1449 6638 5
1449 7651 5
1449 7824 1
1449 7962 9
1449 8547 10
1449 8631 10
1449 8951 5
1450 118 6
1450 223 2
1450 268 5
1450 635 2
1450 794 10
1450 2045 8
1450 2751 2
1450 3884 3
1450 4854 5
1450 5158 4
1450 5424 8
1450 6998 3
1450 7395 3
1450 7628 5
1450 8164 10
1450 8286 2
1450 8291 9
1450 8405 6
1450 8796 5
1450 8813 8
1450 9107 1
1451 743 5
1451 1088 4
1451 1924 2
1451 1968 9
1451 1988 5
1451 2589 8
1451 3539 4
1451 3783 6
1451 4127 2
1451 4262 8
1451 4568 1
1451 4750 3
1451 5038 3
1451 6436 2
1451 7117 4
1451 8582 4
1451 8862 10
1451 8919 5
1451 9097 5
1451 9495 5
1451 9764 2
1452 449 5
1452 1091 9
1452 1451 7
1452 2044 1
1452 2549 1
1452 2932 9
1452 3801 9
1452 4525 1
1452 4725 6
1452 4827 1
1452 4956 7
1452 5102 6
1452 5276 4
1452 5471 3
1452 6548 2
1452 7717 2
1452 8393 3
1452 9037 5
1452 9666 4
1453 428 3
1453 566 2
1453 1053 2
1453 1354 8
1453 1605 10
1453 1817 10
1453 2136 1
1453 2840 2
1453 3683 9
1453 3734 1
1453 3790 3
1453 4579 2
1453 6183 1
1453 7099 7
1453 7768 7
1453 7813 1
1453 8032 7
1453 8710 6
1453 9049 9
1454 702 4
1454 966 8
1454 1484 8
1454 1543 4
1454 1935 1
1454 2282 6
1454 3052 10
1454 3575 4
1454 4315 4
1454 4791 7
1454 5034 7
1454 5420 3
1454 5725 10
1454 5727 7
1454 5874 4
1454 6150 4
1454 6811 8
1454 8517 3
1454 8943 1
1454 9488 7
1455 1621 6
1455 1715 3
1455 2016 3
1455 2762 7
1455 3727 2
1455 3830 9
1455 3870 1
1455 4032 6
1455 4268 1
1455 4706 5
1455 4781 1
1455 4821 8
1455 4825 2
1455 5316 8
1455 5349 5
1455 5994 10
1455 6189 7
1455 7246 2
1455 7381 10
1455 7796 1
1455 7857 8
1455 8649 9
1455 9477 4
1455 9935 7
1456 375 3
1456 1089 5
1456 2528 4
1456 2984 1
1456 3293 8
1456 3725 5
1456 4067 2
1456 4238 3
1456 4446 1
1456 4664 8
1456 4797 4
1456 5275 6
1456 5609 5
1456 5749 10
1456 6832 8
1456 6919 1
1456 7465 3
1456 8089 3
1456 8330 1
1456 8737 7
1456 9135 5
1456 9300 9
1457 516 9
1457 838 6
1457 1014 2
1457 1241 5
1457 1311 8
1457 1316 7
1457 1359 7
1457 1662 4
1457 1965 7
1457 2480 7
1457 3388 7
1457 4456 4
1457 4977 3
1457 4996 2
1457 5388 10
1457 6211 4
1457 6514 3
1457 6762 2
1457 7818 4
1457 7832 4
1457 8428 3
1457 8500 9
1457 8632 2
1457 9241 5
1457 9482 4
1458 781 10
1458 1211 4
1458 2095 10
1458 2408 4
1458 3553 8
1458 4042 1
1458 4387 8
1458 5373 7
1458 5883 2
1458 6520 5
1458 7916 1
1458 8685 6
1458 8777 1
1458 8876 4
1458 9844 10
1458 9883 7
1459 182 7
1459 1093 5
1459 1522 7
1459 1711 1
1459 1843 4
1459 3288 5
1459 3967 6
1459 4194 2
1459 4384 1
1459 4391 9
1459 4915 8
1459 5075 6
1459 5099 7
1459 5413 5
1459 7492 9
1459 8457 10
1459 8473 1
1459 9035 7
1460 354 6
1460 2317 6
1460 2741 6
1460 2801 3
1460 5532 2
1460 6320 8
1460 6402 10
1460 6885 1
1460 6984 7
1460 7167 1
1460 8058 2
1460 8750 9
1460 9103 3
1460 9704 1
1460 9747 5
1461 70 1
1461 208 3
1461 797 1
1461 821 1
1461 827 1
1461 1081 8
1461 2120 3
1461 3490 5
1461 3647 2
1461 3729 2
1461 4030 9
1461 4140 3
1461 4212 6
1461 4483 1
1461 5070 10
1461 5206 7
1461 5232 10
1461 6974 7
1461 7093 5
1461 7524 4
1461 7597 2
1461 9114 3
1462 609 10
1462 714 3
1462 1179 5
1462 1327 5
1462 1620 1
1462 3010 10
1462 3095 5
1462 3809 6
1462 4002 1
1462 4152 2
1462 4178 2
1462 4899 3
1462 4995 7
1462 5556 1
1462 5749 2
1462 6286 2
1462 6307 6
1462 6534 6
1462 7831 3
1462 8559 9
1462 8773 1
1463 443 8
1463 953 4
1463 1909 3
1463 2068 5
1463 2182 9
1463 2603 7
1463 3141 5
1463 3191 1
1463 3203 1
1463 3261 2
1463 4439 7
1463 4672 7
1463 4706 7
1463 5361 1
1463 7169 7
1463 7331 9
1463 7646 3
1463 8688 10
1463 8939 7
